COICOP,Nama_Komoditas
01111001,"Beras (lokal, medium, premium, impor) "
01111003,Beras ketan 
01111006,Jagung basah dengan kulit 
01111005/2,Jagung pipilan/beras jagung/jagung titi 
01115005,Tepung terigu 
0111,Padi-padian lainnya 
01178001,Ketela pohon/singkong 
01178002,Ketela rambat/ubi jalar 
01115007,Sagu (bukan dari ketela pohon) 
01178004,Talas/keladi 
01177001,Kentang 
01178001,Gaplek 
01178,Umbi-umbian lainnya 
01131017,Ekor kuning 
01131069,Tongkol 
01131072,Tuna 
01131013,"Cakalang, dencis "
01131065,Tenggiri 
01131057,Selar 
01131028,"Kembung, lema/tatare, banyar/banyara "
01131067,Teri basah 
01131003,Bandeng 
01131018,Gabus 
01131045,Mujair 
01131041,Mas 
01131046,Nila 
01131035,Lele 
01131023/24,Kakap 
01131004,Baronang 
01131051,Patin 
01131006,Bawal 
01131020,Gurame 
01131,Ikan segar/basah lainnya 
01132004,"Udang, lobster "
01132001/6,"Cumi-cumi, sotong, gurita "
01132007/2/8,"Ketam, kepiting, rajungan "
01132003/10/12,"Kerang, siput, bekicot, remis "
01132,Udang/hewan air segar lainnya 
01133021/26/37,Kembung diawetkan/peda 
01133031,Tenggiri diawetkan 
01133033/34/08,"Tongkol, tuna, cakalang, dencis, ikan kayu diawetkan "
01133032,Teri diawetkan 
01133029,Selar diawetkan 
01133036,Sepat diawetkan 
01133002/3/4,Bandeng diawetkan 
01133011,Gabus diawetkan 
01134001,"Ikan dalam kaleng (sardencis, tuna, dsb.) "
01133,Ikan diawetkan lainnya 
01133035,"Udang diawetkan (ebi, rebon) "
01133009,"Cumi-cumi, sotong, gurita diawetkan "
01133,Udang/hewan air diawetkan lainnya 
01121001,Daging sapi 
01123001,"Daging kambing, domba/biri-biri "
01122001,Daging babi 
01124003,Daging ayam ras 
01124002,Daging ayam kampung 
01121/22/23/24,Daging segar lainnya 
01125,"Daging diawetkan (sosis, abon, nugget, dll) "
01121005,"Tetelan, sandung lamur "
01127,"Lainnya (hati, jeroan, iga, kaki, buntut, kepala, dsb.) "
01147002,Telur ayam ras 
01147001,Telur ayam kampung 
01147003,Telur itik/telur itik manila 
01147005/...,"Telur lainnya (puyuh, asin, penyu, angsa, dsb.) "
01143003/05,Susu cair pabrik / Susu kental manis 
01143001/2,Susu bubuk 
01143007,Susu bubuk bayi 
01141/45/46,Susu lainnya dan hasil lain dari susu 
01171012,Bayam 
01171014,Kangkung 
01172001/2/3,Kol/kubis 
01171016,Sawi putih (petsai) 
01171015,Sawi hijau 
01173003,Buncis 
01173008,Kacang panjang 
01173005,"Tomat sayur, tomat ceri "
01174001,Wortel 
01173004,Mentimun 
01171010,Daun ketela pohon/daun singkong 
01173023/26,Terong 
01171017,Tauge 
01173014/15,"Labu, labu siam, labu parang "
01171026,Bahan sayur sop/cap cay/kimlo (paket) 
01171024/25,Bahan sayur asam/lodeh (paket) 
01173017,Nangka muda 
01173020,Pepaya muda 
01173022,Jengkol 
01174006,Bawang merah 
01174007,Bawang putih 
01174005,Bawang bombay 
01173012,Cabai merah 
01173016,Cabai hijau 
01173013,Cabai rawit 
01171/72/73/74/76,Sayur-sayuran lainnya 
